RA_ICRS,DE_ICRS,Plx,e_Plx,PM,pmRA,e_pmRA,pmDE,e_pmDE,Gmag,e_Gmag,e_BPmag,e_RPmag,BP-RP,EDR3Name,_x,_y,e_BP-RP
120.06172376013,-64.29515450148,2.3689,0.1563,13.117,-4.698,0.248,12.247,0.183,15.1396,0.003089,0.004769,0.00432,1.77465,Gaia EDR3 5275869420466595968,-3.8074449093490994,0.24504927156841635,0.006434730841301755
120.62082071071,-64.29434786123,2.4188,0.0939,13.455,-5.745,0.137,12.167,0.114,17.9099,0.003049,0.033134,0.00688,2.65667,Gaia EDR3 5275870932295196928,-3.809788739871897,0.4877204684468754,0.03384074993258866
120.57671695364,-64.11131219611,2.4281,0.1321,13.012,-5.546,0.22,11.772,0.148,18.3925,0.003213,0.044423,0.007227,3.06534,Gaia EDR3 5275877318909053184,-3.6264519406988134,0.4716539056610386,0.04500702676249565
119.72473994469,-64.23641269149,2.4234,0.0722,12.997,-5.506,0.12,11.773,0.098,12.9299,0.002797,0.003167,0.003896,1.05359,Gaia EDR3 5275883817196864384,-3.7478124569581612,0.09899095187826533,0.005020827123094361
119.78716280116,-64.23808115083,2.1304,0.0159,11.706,-4.83,0.026,10.663,0.02,12.9875,0.002794,0.003293,0.00394,0.909345,Gaia EDR3 5275883954635819008,-3.749588947076148,0.12613520528965372,0.005134924439560917
120.30187525835,-63.88176101663,2.73,0.0579,13.409,-4.849,0.094,12.502,0.062,16.934,0.002968,0.016104,0.006048,2.24287,Gaia EDR3 5275896014904940672,-3.3951780314561217,0.3544547672301532,0.017202241714381297
119.05694220777,-64.40672761773,2.6204,0.0474,13.334,-4.52,0.064,12.544,0.049,16.7075,0.002892,0.010937,0.004585,2.15489,Gaia EDR3 5275899382158432256,-3.918598640124345,-0.19031108028863727,0.01185918184361805
119.38707597309,-64.26739160198,2.4799,0.0163,13.032,-4.681,0.025,12.162,0.018,14.51,0.002785,0.003353,0.003958,1.27138,Gaia EDR3 5275907628495547392,-3.778658646474924,-0.0478290741171006,0.005187328117634357
119.49418612307,-64.21420187233,2.5337,0.0337,12.991,-4.443,0.051,12.207,0.043,16.1276,0.00289,0.006479,0.004397,1.94156,Gaia EDR3 5275908246970790144,-3.7254284630730705,-0.0012936192894649652,0.007830137291261245
119.45350423959,-64.21457214605,2.0825,0.015,12.992,-4.24,0.022,12.281,0.016,11.3024,0.002762,0.002828,0.003789,0.514744,Gaia EDR3 5275908418769481216,-3.725805084447234,-0.019002783806094967,0.004728012796090975
