  NGC 2516      7 58 49.99 -60 49.44 2000.0 3
--ID--  del_RA  del_DC    V     V-I    B-V    U-B   e(V) e(V-I)e(B-V)e(U-B)  --nobs-  BDA  Pmu FRH X HTR Ha  sp rlc Sp       name
    98 -17.339  16.102 16.013  0.917  0.766  0.111  0.004 0.012 0.004 0.021  2 2 2 1     
    99 -17.318  22.328 16.569  1.295  0.000  0.000  0.034 0.034 0.000 0.000  2 2 0 0     
   100 -17.292   9.625 16.618  0.926  0.735  0.135  0.039 0.058 0.039 0.030  2 2 2 1     
   101 -17.251  14.665 14.186  1.317  1.346  1.534  0.002 0.008 0.008 0.024  2 2 2 1     
   102 -17.220  16.731 16.866  1.215  1.137  1.014  0.016 0.022 0.020 0.098  2 2 1 1     
   103 -17.146   6.887 15.060  0.798  0.629  0.096  0.011 0.012 0.012 0.011  2 2 2 1     
   104 -17.062  11.946 16.539  0.909  0.875  0.414  0.046 0.046 0.048 0.047  2 2 2 1     
   105 -17.029   7.278 14.668  1.260  1.111  1.040  0.012 0.013 0.013 0.023  2 2 2 1     
   106 -17.013  21.357 12.271  0.678  0.563  0.050  0.006 0.007 0.014 0.012  2 2 2 2 1264
   107 -16.989   4.741 15.682  0.758  0.602  0.087  0.002 0.002 0.008 0.016  2 2 2 1     
   108 -16.887   6.746 16.853  1.324  1.227  1.313  0.014 0.018 0.021 0.102  2 2 1 1     
   109 -16.825  20.418 16.009  1.059  0.994  0.750  0.003 0.004 0.006 0.033  2 2 2 1     
   110 -16.748  22.198 14.943  0.826  0.647  0.063  0.013 0.017 0.016 0.013  2 2 2 1     
   111 -16.736   7.368 15.835  0.924  0.801  0.308  0.003 0.006 0.007 0.018  2 2 2 1     
   112 -16.726   7.798 16.233  0.963  0.804  0.292  0.003 0.004 0.006 0.030  2 2 2 1     
   113 -16.690  14.277 16.416  0.931  0.778  0.132  0.008 0.009 0.014 0.028  2 2 2 1     
   114 -16.659  10.347 13.047  0.779  0.679  0.147  0.002 0.009 0.002 0.002  2 2 2 2 1325      192 +                         JTP017
   115 -16.629   3.402 12.342  0.808  0.691  0.168  0.002 0.004 0.002 0.003  2 2 2 2  103      193 +                         JTP014
   116 -16.583  18.272 14.937  0.933  0.806  0.280  0.000 0.001 0.002 0.012  2 2 2 1     
   117 -16.475   5.357 15.592  0.928  0.803  0.257  0.019 0.019 0.020 0.016  2 2 2 1     
   118 -16.443   7.771 15.272  0.894  0.768  0.229  0.002 0.010 0.017 0.023  2 2 2 1     
   119 -16.406  16.064 10.882  0.386  0.334  0.110  0.009 0.009 0.014 0.011  1 1 1 1 1258 0.99
   120 -16.391  10.559 13.916  0.772  0.642  0.075  0.001 0.015 0.006 0.007  2 2 2 2 1363           
   121 -16.333  14.876 15.789  1.018  0.873  0.369  0.012 0.018 0.014 0.024  2 2 2 1     
