# 
# Jeffries file, cross-matched with Gaia EDR3
# 
ID,RAJ2000,DEJ2000,V,B-V,V-I,F1,F2,F3,F4,F5,_x,_y,RA_ICRS,DE_ICRS,Source,Plx,e_Plx,PM,pmRA,e_pmRA,pmDE,e_pmDE,Gmag,e_Gmag,BP-RP,e_BP-RP
1300,118.72125,-60.61366388888889,20.101,99.999,2.968,0,1,0,1,0,-0.377993,0.148377,118.72132959658,-60.61379282843,5290924174192395904,3.6803,0.1408,30.105,-13.119,0.212,-27.096,0.209,18.728289,0.003242,2.776485,0.07344784179947018
1323,118.72347083333332,-60.90943611111111,19.217,99.999,2.6,0,1,0,1,0,-0.373452,-0.147181,118.72353759658,-60.90938174809,5290727700911375488,2.5926,0.1057,11.794,-4.189,0.151,11.025,0.137,18.10054,0.003044,2.680719,0.04303759055755794
1324,118.72392916666666,-60.77149444444444,15.508,1.271,1.363,1,1,1,1,0,-0.374827,-0.009277,118.72402741919,-60.77147199552,5290732275054478080,0.2195,0.0197,5.478,-1.426,0.028,5.289,0.027,15.104602,0.002767,1.502955,0.005259629264501443
1340,118.72710416666665,-60.85371388888889,20.08,99.999,3.053,0,1,0,1,1,-0.372287,-0.091427,118.72726898248,-60.85364596743,5290728766063310080,2.3272,0.1544,9.09,-3.814,0.195,8.251,0.184,18.515804,0.00321,2.907671,0.06686289752171977
1346,118.72770833333333,-60.830983333333336,17.513,1.633,2.175,1,1,1,1,0,-0.372317,-0.068708,118.72775067624,-60.83092831089,5290728942159964160,2.4264,0.0415,12.164,-4.954,0.059,11.11,0.055,16.66863,0.003016,2.178125,0.011567048759298976
1391,118.73268749999998,-60.91625,17.135,1.518,1.955,1,1,1,1,0,-0.368875,-0.153887,118.7327908247,-60.91614048634,5290727636489979392,2.605,0.0399,20.344,-2.954,0.057,20.128,0.052,16.388887,0.002802,1.984967,0.007378517262973639
1401,118.73398333333331,-60.46198888888889,17.696,1.474,2.431,1,1,1,1,1,-0.373649,0.300354,118.73375219606,-60.4618784948,5290934688272023168,4.3579,0.0409,39.489,-31.891,0.058,23.289,0.053,16.666365,0.002816,2.377605,0.010914137483099615
1409,118.73474999999999,-61.08663611111111,18.503,1.495,2.497,1,1,1,1,0,-0.365943,-0.324299,118.73477561346,-61.08657400217,5290690214436590464,2.3945,0.0605,12.195,-4.498,0.079,11.335,0.081,17.428122,0.003033,2.524077,0.021876324554184142
1412,118.73506249999998,-60.451122222222224,19.337,1.469,2.557,1,1,1,1,0,-0.372929,0.311073,118.73546121086,-60.45116844572,5290934683975138432,1.7623,0.0974,22.654,22.461,0.124,-2.952,0.126,18.259897,0.003026,2.573414,0.03844735239259005
1419,118.73654166666665,-60.38893611111111,11.98,0.585,0.742,1,1,1,1,1,-0.372894,0.373297,118.73697959342,-60.38894931747,5290946920338914304,3.1408,0.0124,27.079,27.075,0.016,-0.466,0.015,11.821642,0.002758,0.80452,0.0047256213348087885
1422,118.73703333333331,-60.934777777777775,19.536,99.999,2.793,0,1,0,1,0,-0.366617,-0.172426,118.73699798551,-60.93470439148,5290727048076320896,2.464,0.1168,12.356,-3.869,0.163,11.734,0.161,18.252924,0.0031,2.870817,0.03987999259027012
1425,118.73777499999998,-60.46033611111111,17.701,1.646,2.427,1,1,1,1,1,-0.371809,0.30203,118.7375231398,-60.46022329557,5290934688272025216,4.3499,0.042,39.484,-31.853,0.061,23.332,0.055,16.70347,0.002821,2.419522,0.011138988104850459
1431,118.73889166666666,-60.64040277777778,14.44,1.015,1.12,1,1,1,1,1,-0.36904,0.121898,118.73895681819,-60.64037362389,5290922971601551872,0.4238,0.0131,9.776,-3.486,0.02,9.133,0.019,14.157186,0.002759,1.242862,0.004828820249294852
1437,118.73965,-60.71063055555556,20.06,99.999,2.794,0,1,0,1,0,-0.367837,0.051732,118.73977153283,-60.71054913313,5290734920756244352,2.6077,0.1754,12.345,-4.026,0.26,11.67,0.239,18.92529,0.003503,3.063553,0.07383312650159142
1440,118.7401875,-60.99370833333334,17.203,1.475,1.92,1,1,1,1,0,-0.364299,-0.23144,118.74037588213,-60.99374042002,5290715129545284864,2.0319,0.037,6.818,5.788,0.048,-3.604,0.047,16.475399,0.0028,1.934242,0.0110266235085814
1449,118.74142083333332,-61.18026944444444,12.011,0.664,0.828,1,1,1,1,1,-0.361706,-0.41792,118.74131864291,-61.18023746938,5290685953827811840,2.2473,0.0239,11.407,-3.312,0.03,10.916,0.031,12.242505,0.002769,0.914697,0.009259336477307648
1450,118.74165833333332,-60.358041666666665,17.044,1.553,2.071,1,1,1,1,1,-0.370696,0.40412,118.74213913726,-60.35815399259,5290947160857094400,2.7928,0.0344,33.72,28.708,0.04,-17.687,0.042,16.23961,0.002801,2.082747,0.006693078962629979
1485,118.74742916666665,-60.819094444444445,10.925,0.426,99.999,1,0,0,1,0,-0.362854,-0.056712,118.74744368702,-60.81904166125,5290731931459005056,2.4092,0.1679,11.418,-3.713,0.226,10.797,0.215,10.824256,0.002781,0.616683,0.004729426392280569
1525,118.75314999999999,-60.323238888888895,18.288,1.498,2.273,1,1,1,1,0,-0.365601,0.439128,118.75323313291,-60.32320560896,5290948363447957248,2.1908,0.0765,11.113,-7.397,0.097,8.293,0.092,17.350245,0.00295,2.235102,0.02066112891397757
1531,118.75429166666666,-60.524541666666664,19.305,99.999,2.668,0,1,0,1,0,-0.362753,0.23788,118.75443095349,-60.5244718713,5290927640228699264,2.4055,0.0873,12.094,-3.975,0.108,11.422,0.115,18.17505,0.003055,2.731735,0.04413456392670035
1544,118.75586249999999,-60.46403055555556,17.239,1.533,2.011,1,1,1,1,0,-0.362689,0.298357,118.75593574307,-60.46399986843,5290934653912289536,2.2879,0.0406,10.554,-4.21,0.054,9.678,0.052,16.517355,0.002856,2.063661,0.009877791706651847
