# 
# Source: WEBDA
# 
# F1  V vs B-V membership flag
# F2  V vs V-I membership flag
# F3  B-V vs V-I membership flag
# F4  Candidate membership flag
# F5  Binarity flag
# 
# ID    RAh RAm RAs  DE- DEd DEm DEs      V     B-V     V-I  F1 F2 F3 F4 F5
     ID              RAJ2000               DEJ2000     Vmag      B-V      V-I   F1   F2   F3   F4   F5  
    113   118.56083333333332   -60.777433333333335   17.481    1.017    1.213   -1   -1    1   -1    0  
    114   118.56091249999999    -60.93800833333333   18.521    1.038    1.088   -1   -1    1   -1    0  
    115   118.56132083333331             -60.35105   16.482    0.812    1.128   -1   -1   -1   -1    0  
    116   118.56135416666665   -60.847055555555556   19.171   -9.999    1.564    0   -1    0   -1    0  
    117   118.56140416666666    -60.47036666666667   18.997    1.031    1.381   -1   -1   -1   -1    0  
    118   118.56142083333332            -61.224075   18.239    1.461    1.695    1   -1    1   -1    0  
    119   118.56148333333333    -60.99863055555556   18.237    0.702    1.039   -1   -1   -1   -1    0  
    120   118.56155416666665   -60.859719444444444    17.29    0.751    0.979   -1   -1    1   -1    0  
    121   118.56179166666665    -60.77910833333333   19.576   -9.999    2.133    0   -1    0   -1    0  
    122   118.56184166666667   -61.154019444444444   19.468    1.026    1.266   -1   -1    1   -1    0  
    123          118.5620375   -60.604711111111115   18.074     0.73    0.945   -1   -1    1   -1    0  
    124   118.56204999999999   -61.070122222222224   17.934    0.651    0.983   -1   -1   -1   -1    0  
    125   118.56213333333332   -61.048680555555556   19.417   -9.999    1.629    0   -1    0   -1    0  
    126   118.56217083333333    -60.39696388888889   19.148    0.752    0.999   -1   -1    1   -1    0  
    127   118.56236666666665   -60.704661111111115   19.923   -9.999    2.346    0   -1    0   -1    0  
    128           118.562525    -60.45673611111111   18.312     0.73    0.855   -1   -1    1   -1    0  
    129   118.56254583333333    -61.06585555555555   18.844    0.613    1.138   -1   -1   -1   -1    0  
    130   118.56264583333333    -60.32231388888889   15.687    1.173    1.252    1   -1    1   -1    0  
    131   118.56274583333334    -60.93398333333333    19.01    0.759    1.051   -1   -1    1   -1    0  
    132   118.56277916666666    -60.35147777777778   16.027    0.804    1.015   -1   -1    1   -1    0  
    133           118.563025    -60.33180555555556   15.907    1.062    1.202   -1   -1    1   -1    0  
    134   118.56307499999998    -60.65186666666666   18.572    1.202    1.577   -1   -1    1   -1    0  
    135   118.56313333333333              -60.9622    16.95    0.836    1.074   -1   -1   -1   -1    0  
    136   118.56322083333333    -60.43011666666666   17.902    1.503    2.098    1    1    1    1    0  
    137   118.56324583333333    -60.56529444444444    18.25    0.809    1.082   -1   -1    1   -1    0  
    138   118.56390833333333            -60.926175    19.99   -9.999    0.715    0   -1    0   -1    0  
    139            118.56405    -60.41467222222222   18.577    0.928    0.894   -1   -1    1   -1    0  
    140   118.56411666666666    -60.64091388888889    18.69    0.891    1.336   -1   -1   -1   -1    0  
    141   118.56419999999999    -60.61385277777778   17.806    1.305    1.361   -1   -1    1   -1    0  
    142   118.56420416666667    -61.01602777777778   18.931   -9.999    1.798    0   -1    0   -1    0  
    143   118.56441249999999    -60.93763055555555   20.908   -9.999    1.005    0   -1    0   -1    0  
    144   118.56455416666665    -60.96888611111111   14.371    0.958    1.147    1    1    1    1    1  
    145   118.56457916666666   -60.541913888888885   18.965   -9.999    2.479    0    1    0    1    0  
    146   118.56458333333333    -60.87218888888889   19.671   -9.999    1.203    0   -1    0   -1    0  
    147   118.56470416666666   -60.544847222222224   18.323    0.851    0.885   -1   -1    1   -1    0  
    148   118.56473749999999    -60.79439444444444   17.406    0.774     1.07   -1   -1   -1   -1    0  
    149   118.56474166666665    -60.36288611111111   18.274    0.628    0.836   -1   -1    1   -1    0  
    150   118.56499166666666   -60.581497222222225    19.89   -9.999    1.945    0   -1    0   -1    0  
    151   118.56514166666666    -61.16824166666667   19.475   -9.999    1.684    0   -1    0   -1    0  
    152           118.565225    -61.08716944444445   17.262    1.097    1.203   -1   -1    1   -1    0  
    153   118.56535416666665    -60.32333055555556   19.874   -9.999    1.047    0   -1    0   -1    0  
    154          118.5654625              -60.9528   19.845   -9.999    0.714    0   -1    0   -1    0  
    155   118.56546666666667    -61.04073888888889   18.755    0.908    1.052   -1   -1    1   -1    0  
    156   118.56555416666666    -60.81088888888888   19.191   -9.999    1.334    0   -1    0   -1    0  
    157   118.56562916666667    -60.95093055555556    19.19    0.445    0.959   -1   -1   -1   -1    0  
    158          118.5656625    -60.52025277777778   18.756    1.377    1.672   -1   -1    1   -1    0  
    159   118.56571249999999            -60.520275   18.732    1.603    1.703    1   -1    1   -1    0  
    160             118.5659    -60.84558055555556   13.111    1.165    1.294   -1   -1    1   -1    0  
    161   118.56603333333334   -60.358805555555556   18.808    0.787    0.965   -1   -1    1   -1    0  
    162   118.56632083333332    -60.47886666666667   18.567    1.232    2.079   -1   -1   -1   -1    0  
    163   118.56636666666665    -60.63207777777778   17.644    1.237    1.513   -1   -1    1   -1    0  
    164   118.56659166666665    -61.15892777777778   17.005    0.693    0.979   -1   -1   -1   -1    0  
    165           118.567025    -60.33120277777778   16.395    0.825    0.974   -1   -1    1   -1    0  
    166   118.56710416666665    -61.09895277777778   19.674   -9.999     1.45    0   -1    0   -1    0  
    167   118.56723749999999    -60.34626111111111   19.649    1.026     1.24   -1   -1    1   -1    0  
    168   118.56723749999999             -60.69925   17.501    1.478    1.693    1   -1    1   -1    0  
    169   118.56732083333333   -60.478036111111116   18.114    0.924    1.443   -1   -1   -1   -1    0  
    170           118.567325    -60.56450833333333   18.935    0.925    0.988   -1   -1    1   -1    0  
    171   118.56769583333333    -60.34802222222223   17.114    0.958    1.099   -1   -1    1   -1    0  
    172   118.56811666666665    -60.57083055555556   18.765   -9.999    2.315    0   -1    0   -1    0  
    173   118.56814583333333   -60.894952777777775   20.029   -9.999     2.84    0    1    0    1    0  
    174   118.56836666666665    -60.74039444444445   18.972    1.051    1.008   -1   -1    1   -1    0  
    175   118.56872499999999    -60.88592222222222   19.286    0.741    1.135   -1   -1   -1   -1    0  
    176   118.56877916666666   -60.997727777777776   19.181   -9.999    2.795    0    1    0    1    1  
    177   118.56919583333332   -60.617869444444445   18.979   -9.999    1.522    0   -1    0   -1    0  
    178   118.56932916666666    -60.78581944444444   17.182    0.947    1.036   -1   -1    1   -1    0  
    179   118.56936666666665   -60.695277777777775   18.923    0.932    1.004   -1   -1    1   -1    0  
    180           118.569475   -60.971222222222224   18.264    1.539    3.321    1   -1    1   -1    0  
    181   118.56982916666666    -60.36194444444445   14.954    0.723    0.857   -1   -1    1   -1    0  
    182   118.56999166666665    -60.74306111111111   18.857   -9.999     0.97    0   -1    0   -1    0  
    183   118.57001666666666    -60.97289166666667   18.372    1.016    1.446   -1   -1   -1   -1    0  
    184   118.57006666666666             -60.63765   16.943    0.879    1.098   -1   -1    1   -1    0  
    185   118.57012499999999    -60.87248611111111    18.03    0.489    0.803   -1   -1    1   -1    0  
    186   118.57042916666666    -61.05093055555555   18.807    1.164    1.068   -1   -1   -1   -1    0  
    187   118.57047083333332    -60.41681944444444   17.822    0.652    0.828   -1   -1    1   -1    0  
    188   118.57053749999999   -61.137188888888886   19.344   -9.999     0.65    0   -1    0   -1    0  
    189   118.57069166666666    -60.46009444444445    18.76    0.912    1.324   -1   -1   -1   -1    0  
